periodo,momento,nrc,programa_codigo,programa_nombre,asignatura
202685,1,85-1859,FTA9,Vicerrectoria Regionales,Posturas Críticas Emancipadora
202685,1,85-1860,FTA9,Vicerrectoria Regionales,Técnicas Críticas y Participat
202685,1,85-1861,FTA9,Vicerrectoria Regionales,Procesos de Resistencia Social
202685,1,85-1862,DFY9,Vicerrectoria Regionales,Análisis e Identif del Problem
202685,1,85-1863,DFY9,Vicerrectoria Regionales,Etapa de Programación
202685,1,85-1864,DFY9,Vicerrectoria Regionales,Etapa de Diseño
202685,1,85-1865,DFY9,Vicerrectoria Regionales,Elaboración de la Matriz Marco
202685,1,85-1866,DDL9,Vicerrectoria Regionales,Teoría Literal
202685,1,85-1867,DDL9,Vicerrectoria Regionales,Historia Literatura Infantil
202685,1,85-1868,DDL9,Vicerrectoria Regionales,Literatura Infantil Universal
202685,1,85-1869,DDL9,Vicerrectoria Regionales,Literatura Hispanoamericana
202685,1,85-1870,DDL9,Vicerrectoria Regionales,Didáctica Literatura Infantil
202685,1,85-1871,DDL9,Vicerrectoria Regionales,Los Mediadores Ilustración
202685,1,85-1872,DDL9,Vicerrectoria Regionales,Recursos Didácticos
