periodo,nrc,momento,programa_codigo,programa_nombre,asignatura,banner_status,moodle_status,template
202610,10-87466,1,ISUM,INGENIERO DE SISTEMAS,Plan de Negocios,SIN_DOCENTE,OK,CRIBA
202610,10-87478,1,ISUM,INGENIERO DE SISTEMAS,Matemáticas Discretas,SIN_DOCENTE,OK,VACIO
202610,10-87682,1,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont,SIN_DOCENTE,OK,VACIO
202610,10-87690,1,LENG,Dep Comunicacion Escrita proce,Com Escrita y Proce Lect I,SIN_DOCENTE,OK,VACIO
202611,11-75097,1,EGDH,ES GERENCIA DESAR HUMANO ORGAN,Prosp Financier Gestión Humana,SIN_DOCENTE,OK,VACIO
202611,11-75098,1,EGDH,ES GERENCIA DESAR HUMANO ORGAN,Metodología de la Investigació,SIN_DOCENTE,OK,VACIO
202611,11-75099,1,EGDH,ES GERENCIA DESAR HUMANO ORGAN,Electiva I,SIN_DOCENTE,OK,VACIO
202611,11-75260,1,EGRL,ES GCIA RIES LBLES SALUD TRAB,Legislación en Seguridad y Sal,SIN_DOCENTE,OK,VACIO
202611,11-81017,1,EAIR,Esp Auditoría Integral y Revis,Auditoría Proces Electro Datos,SIN_DOCENTE,OK,VACIO
202611,11-81291,1,EGDH,Vicerrectoria Academica,Principios y Competencias Gere,SIN_DOCENTE,OK,D4
202611,11-81292,1,EGDH,Vicerrectoria Academica,Direccionamiento Estratégico,SIN_DOCENTE,REVISAR_MANUAL,
202611,11-81293,1,EGDH,Vicerrectoria Academica,Finanzas para Gerentes,SIN_DOCENTE,REVISAR_MANUAL,
202611,11-81294,1,EGDH,Vicerrectoria Academica,Globalización y Competitividad,SIN_DOCENTE,REVISAR_MANUAL,
202611,11-81295,1,EGDH,Vicerrectoria Academica,Elec Responsabilidad Social Y,SIN_DOCENTE,REVISAR_MANUAL,
202611,11-81345,1,EFIA,ESP FAMILIA INFANCIA ADOLESCEN,Derecho de Famil Infan Adolesc,SIN_DOCENTE,OK,CRIBA
202611,11-81347,1,EFIA,Vicerrectoría Académica,Teoría de Género,SIN_DOCENTE,OK,CRIBA
202612,12-1111,1,ETDH,Ins Form para el Trabajo y Des,Cátedra Minuto de Dios,SIN_DOCENTE,OK,
202612,12-1112,1,ETDH,Proy Formación Para el Empleo,Comunicación y Servicio,SIN_DOCENTE,OK,
202612,12-1113,1,TLGA,TL COMP GESTION ADMINISTRATIVA,Reg de Infor Contable y Nomina,SIN_DOCENTE,OK,
202612,12-1114,1,TLGA,TL COMP GESTION ADMINISTRATIVA,Control de Inventarios,SIN_DOCENTE,OK,
202612,12-1115,1,ETDH,Ins Form para el Trabajo y Des,Gest Básica de la Información,SIN_DOCENTE,OK,
202612,12-1116,1,ETDH,Ins Form para el Trabajo y Des,Proyecto de Vida,SIN_DOCENTE,OK,
202612,12-1117,1,INGL,Centro de Idiomas Rocherau,Inglés I,SIN_DOCENTE,OK,
202612,12-1118,1,TLMM,TL COMP MANTENIMIENTO MOTOS,Mantenimiento Preventivo,SIN_DOCENTE,OK,
202612,12-1119,1,TLMM,TL COMP MANTENIMIENTO MOTOS,Normatividad,SIN_DOCENTE,REVISAR_MANUAL,
202612,12-1120,1,VTMM,Vicerrectoria Academica,Inglés I,SIN_DOCENTE,OK,
202612,12-1121,1,VTMM,Vicerrectoria Academica,Proyecto de Vida,SIN_DOCENTE,OK,
202612,12-1122,1,VTMM,Vicerrectoria Academica,Inglés II,SIN_DOCENTE,OK,
202612,12-1123,1,TLMM,TL COMP MANTENIMIENTO MOTOS,Procedimientos Técnicos,SIN_DOCENTE,REVISAR_MANUAL,
202612,12-1124,1,TLMM,TL COMP MANTENIMIENTO MOTOS,Mantenimiento Correctivo,SIN_DOCENTE,OK,
202612,12-1125,1,TLMM,TL COMP MANTENIMIENTO MOTOS,Prácticas,SIN_DOCENTE,OK,
202612,12-1126,1,VTMM,Vicerrectoria Academica,Emprendimiento,SIN_DOCENTE,OK,
202612,12-1127,1,TLSS,TL Comp Segurid Salud Trabajo,Normatividad Ssgt,SIN_DOCENTE,OK,
202612,12-1128,1,TLSS,TL Comp Segurid Salud Trabajo,Gestión del Riesgo de Desastre,SIN_DOCENTE,OK,
202612,12-1129,1,VTMM,Vicerrectoria Academica,Proyecto de Vida,SIN_DOCENTE,OK,
202612,12-1130,1,VTMM,Vicerrectoria Academica,Inglés I,SIN_DOCENTE,OK,
202612,12-1131,1,VTMM,Vicerrectoria Academica,Emprendimiento,SIN_DOCENTE,OK,
202612,12-1132,1,TLSS,TL Comp Segurid Salud Trabajo,Procedimiento Operativo Sst,SIN_DOCENTE,OK,
202612,12-1133,1,TLSS,TL Comp Segurid Salud Trabajo,Etapa Práctica,SIN_DOCENTE,OK,
202612,12-1134,1,VTMM,Vicerrectoria Academica,Inglés II,SIN_DOCENTE,OK,
202612,12-1137,1,FHUM,Iins Virtual y  a Distancia,Cátedra Minuto de Dios,SIN_DOCENTE,OK,
202612,12-1138,1,TLCI,Ins Formacion Trab y Des Human,Introducción confección indust,SIN_DOCENTE,OK,
202612,12-1139,1,TLCI,Ins Formacion Trab y Des Human,Máquina Plana,SIN_DOCENTE,OK,
202612,12-1140,1,TLCI,Ins Formacion Trab y Des Human,Planeación textil,SIN_DOCENTE,OK,
202612,12-1141,1,TLCI,Ins Formacion Trab y Des Human,Comunicación y servicio,SIN_DOCENTE,OK,
202612,12-1142,1,TLCI,Ins Formacion Trab y Des Human,Matemáticas básicas,SIN_DOCENTE,OK,
202612,12-1143,1,FHUM,Iins Virtual y  a Distancia,Cátedra Minuto de Dios,SIN_DOCENTE,OK,
202612,12-1144,1,TLCI,Ins Formacion Trab y Des Human,Introducción confección indust,SIN_DOCENTE,OK,
202612,12-1145,1,TLCI,Ins Formacion Trab y Des Human,Máquina Plana,SIN_DOCENTE,OK,
202612,12-1146,1,TLCI,Ins Formacion Trab y Des Human,Planeación textil,SIN_DOCENTE,OK,
202612,12-1148,1,TLCI,Ins Formacion Trab y Des Human,Matemáticas básicas,SIN_DOCENTE,OK,
202612,12-1163,1,ADMI,Fac Ciencias Emp Adm Empresari,Emprendimiento,SIN_DOCENTE,OK,
202612,12-1164,1,TLCI,Ins Formacion Trab y Des Human,Máquina de Ciclo de Costura,SIN_DOCENTE,OK,
202612,12-1165,1,TLCI,Ins Formacion Trab y Des Human,Máquina Fileteadora,SIN_DOCENTE,OK,
202612,12-1166,1,TLCI,Ins Formacion Trab y Des Human,Máquina de Cadeneta,SIN_DOCENTE,OK,
202612,12-1167,1,FHUM,Direccion de Primer Semestre,Proyecto de Vida,SIN_DOCENTE,OK,
202612,12-1168,1,TLCI,Ins Formacion Trab y Des Human,PRÁCTICA LABORAL,SIN_DOCENTE,OK,
202612,12-1258,1,TLGA,TL COMP GESTION ADMINISTRATIVA,Fundamen de Costos e Inventari,SIN_DOCENTE,OK,VACIO
202612,12-1259,1,TLGA,TL COMP GESTION ADMINISTRATIVA,Logística de Eventos,SIN_DOCENTE,REVISAR_MANUAL,
202612,12-1260,1,TLGA,TL COMP GESTION ADMINISTRATIVA,Gestión Documental,SIN_DOCENTE,OK,
202612,12-1261,1,TLGA,TL COMP GESTION ADMINISTRATIVA,Práctica Laboral,SIN_DOCENTE,OK,
202612,12-1262,1,ADMI,Fac Ciencias Emp Adm Empresari,Emprendimiento,SIN_DOCENTE,REVISAR_MANUAL,
202612,12-1263,1,INGL,Centro de Idiomas Rocherau,Inglés II,SIN_DOCENTE,OK,
202612,12-1264,1,TLMM,TL COMP MANTENIMIENTO MOTOS,Mantenimiento Correctivo,SIN_DOCENTE,OK,
202621,21-70272,MD2,EGRL,ES GCIA RIES LBLES SALUD TRAB,Gestión en Seguridad y Salud E,,OK,VACIO
202621,21-70286,MD2,EAFO,Especialización en Auditoría F,Electiva 2,,OK,VACIO
202621,21-79334,1,MGIP,MS Gerencia Innovación Proyect,Gestión Conocimiento Tecnologí,SIN_DOCENTE,OK,VACIO
202621,21-79556,1,EGPR,ESP EN GERENCIA DE PROYECTOS,Electiva I,SIN_DOCENTE,REVISAR_MANUAL,
202621,21-79558,1,EGPR,ESP EN GERENCIA DE PROYECTOS,Formulación de Proyectos,SIN_DOCENTE,REVISAR_MANUAL,
202621,21-79599,1,MGIP,MS Gerencia Innovación Proyect,Gerencia de Proyectos,SIN_DOCENTE,OK,VACIO
202621,21-79600,1,MGIP,MS Gerencia Innovación Proyect,Gerencia Estratégica,SIN_DOCENTE,OK,VACIO
202621,21-79606,MD2,MGIP,MS Gerencia Innovación Proyect,Electiva,,OK,VACIO
202621,21-79610,MD2,MGIP,MS Gerencia Innovación Proyect,Gerencia de Proyectos,,REVISAR_MANUAL,
